,cX,cY,topoSig
0,5,20,0000001111000000110000000011110000001111000000111000000011110000001111000000111100000011110000001000
1,9,19,000000000000111111000000000000000001000000000011111111000000000110000000000000000111101111000000000000000111000000000111111111000000000000000011000000000111111111000000000
2,7,10,0000000000111100000000000001000000000001110000000110000000000001000011
3,8,14,0000111100000000110000000000000001111111000000001111111100000000000111100000000011111100000000000000011100000000
4,8,14,1100001100000000011111110000000011111111000000001111100000000000111000000000000011111110000000000000111100000000
5,7,14,00000000111111000000011111110000000111110000000001100000000000011111100000000000111100000001111000
6,7,12,000000001111110000000110000000000000000111000000000000110000000000000100000001110000
7,8,12,000111100000000001111111000000001100000000000000000011110000000000000111000000000000001100000000
8,6,10,000000100000000000111111000000001100000000111110000000000111
9,8,14,0000000011000000000000000111111100000000111111110000000000011110000000001111110000000000000011110000000011111000
10,5,20,0111100000011110000001111000000111100000011110000001110000000111100000011000000001000000000111100000
11,4,9,000000010000100000001100000011110000
12,5,10,00001000000001100000100000000011000000001111100000
13,5,20,0000001111000000111100000011110000001111000000111000000011110000001100000000100000000011110000001111
14,10,19,0000000000000001111100000000001111111111000000000011100000110000000000111111111000000000000000111111000000000011111100000000000000100000000000000000001100000000000000000011111110000000000000
15,10,20,00000000000000011111000000000011111111110000000000111000001100000000001111111110000000000000001111110000000000111111000000000000001000000000000000000011000000000000000000111111100000000000001111111111
16,9,16,111111110000000000100000000000000000000011111000000000111000000000000000000000111000000000110000000000000000111111100000000000000001111000000000
17,9,16,000000000100000000000000000000001111000000000111000000000000000000000011000000000110000000000000000111111110000000000000000111000000000111100000
18,11,19,00000000000000111111110000000000000000111111000000000001111111111000000000000111111100000000000000000001111111000000000000011111110000000000000000000111110000000000010000000000000000000001111111100000000000000
19,16,18,000000000000000000001111100000000000000000000000000000111111111100000000000000000000000000001111000000000000000011111111111111000000000000000000111111100000000000000000000000001101111100000000000000000000000000000000000001110000000000000000111110000001111100000000000000000111111111000001
20,13,17,00000000000000001111100000000000000000000000111111110000000000000000000000011100000000000001111111111110000000000000011111100000000000000000000101111100000000000000000000000000000011000000000000011110000011110000000000000
